callsign|channel|city|state|licensee|lat|lon
-|8|JONESBORO|AR|GRAY TELEVISION LICENSEE, LLC|35.889444|-90.935556
KAAH-TV|27|HONOLULU|HI|TRINITY BROADCASTING OF TEXAS, INC.|21.392667|-158.096694
KAAL|36|AUSTIN|MN|KAAL-TV, LLC|43.642778|-92.526667
KAAS-TV|17|SALINA|KS|KSAS LICENSEE, LLC|39.104444|-97.387778
KABB|30|SAN ANTONIO|TX|KABB LICENSEE, LLC|29.291389|-98.270278
KABC-TV|7|LOS ANGELES|CA|KABC TELEVISION, LLC|34.226944|-118.066944
KACV-TV|9|AMARILLO|TX|AMARILLO JUNIOR COLLEGE DISTRICT|35.342528|-101.822556
KADN-TV|16|LAFAYETTE|LA|BCBL LICENSE SUBSIDIARY, LLC|30.362083|-92.214583
KAEF-TV|22|ARCATA|CA|SINCLAIR MEDIA LICENSEE, LLC|40.727306|-123.972528
KAET|8|PHOENIX|AZ|ARIZONA BOARD OF REGENTS FOR ARIZONA STATE UNIVERSITY|33.333333|-112.064444
KAFT|9|FAYETTEVILLE|AR|ARKANSAS EDUCATIONAL TELEVISION COMMISSION|35.814722|-94.028333
KAID|21|BOISE|ID|STATE BOARD OF EDUCATION, STATE OF IDAHO|43.755778|-116.099167
KAII-TV|7|WAILUKU|HI|NEXSTAR MEDIA INC.|20.657083|-156.359944
KAIL|7|FRESNO|CA|RADIANT LIFE MINISTRIES, INC.|37.071917|-119.431194
KAIT|27|JONESBORO|AR|GRAY TELEVISION LICENSEE, LLC|35.889444|-90.935556
KAJB|36|CALIPATRIA|CA|CALIPATRIA BROADCASTING COMPANY, LLC|33.050583|-114.828028
KAKE|10|WICHITA|KS|KNOXVILLE TV LLC|37.781389|-97.519167
KAKW-DT|13|KILLEEN|TX|KAKW LICENSE PARTNERSHIP, L.P.|30.726194|-97.990389
KALB-TV|35|ALEXANDRIA|LA|GRAY TELEVISION LICENSEE, LLC|31.037778|-92.495833
KALO|18|HONOLULU|HI|REAL LIFE NETWORK: HAWAII|21.403000|-158.097833
KAMC|27|LUBBOCK|TX|MISSION BROADCASTING, INC.|33.526056|-101.869056
KAMR-TV|19|AMARILLO|TX|NEXSTAR MEDIA INC.|35.342528|-101.822556
KAMU-TV|12|COLLEGE STATION|TX|TEXAS A & M UNIVERSITY|30.630000|-96.342778
KARD|19|WEST MONROE|LA|NEXSTAR MEDIA INC.|32.095167|-92.176194
KARE|31|MINNEAPOLIS|MN|MULTIMEDIA HOLDINGS CORPORATION|45.062500|-93.139444
KARK-TV|32|LITTLE ROCK|AR|NEXSTAR MEDIA INC.|34.799167|-92.500000
KARZ-TV|28|LITTLE ROCK|AR|NEXSTAR MEDIA INC.|34.799167|-92.491667
KASA-TV|27|SANTA FE|NM|NBC TELEMUNDO LICENSE LLC|35.213833|-106.450917
KASN|34|PINE BLUFF|AR|MISSION BROADCASTING, INC.|34.441944|-92.217778
KASW|27|PHOENIX|AZ|SCRIPPS BROADCASTING HOLDINGS LLC|33.333611|-112.063056
KASY-TV|36|ALBUQUERQUE|NM|MISSION BROADCASTING, INC.|35.213833|-106.450917
KATC|28|LAFAYETTE|LA|SCRIPPS BROADCASTING HOLDINGS LLC|30.323806|-92.290139
KATU|24|PORTLAND|OR|SINCLAIR PORTLAND LICENSEE, LLC|45.516056|-122.734194
KATV|22|LITTLE ROCK|AR|KATV LICENSEE, LLC|34.797389|-92.489111
KAUT-TV|19|OKLAHOMA CITY|OK|NEXSTAR MEDIA INC.|35.568611|-97.489167
KAUZ-TV|22|WICHITA FALLS|TX|KAUZ LICENSE SUBSIDIARY, LLC|33.901111|-98.539444
KAVU-TV|20|VICTORIA|TX|QUEENB TELEVISION OF TEXAS, LLC|28.845389|-97.126111
KAWB|28|BRAINERD|MN|NORTHERN MINNESOTA PUBLIC TELEVISION, INC.|46.422500|-94.461667
KAWE|9|BEMIDJI|MN|NORTHERN MINNESOTA PUBLIC TELEVISION, INC.|47.700833|-94.487500
KAYU-TV|28|SPOKANE|WA|RINCON BROADCASTING SPOKANE LLC|47.578889|-117.297222
KAZA-TV|22|AVALON|CA|KAZA-TV LLC|34.213306|-118.062306
KAZD|31|LAKE DALLAS|TX|KAZD-TV LLC|32.587639|-96.966667
KAZF|32|FLAGSTAFF|AZ|GRAY TELEVISION LICENSEE, LLC|34.968778|-111.508500
KAZQ|17|ALBUQUERQUE|NM|ALPHA OMEGA BROADCASTING OF ALBUQUERQUE, INC.|35.214194|-106.450833
KAZS|27|YUMA|AZ|GRAY TELEVISION LICENSEE, LLC|33.050583|-114.828028
